Reporting date,Card Type,Category,Series Description,Sector,Sub-sector, ObservationType , Observation Scale,Value
2015-02,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1278664
2015-02,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,1756066
2015-02,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,757544
2015-02,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,592852
2015-02,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,164692
2015-02,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,768614
2015-02,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,497203
2015-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,181193
2015-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,90218
2015-02,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,357488
2015-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,199332
2015-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,61786
2015-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,137546
2015-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,158156
2015-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,123509
2015-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,34647
2015-03,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4478225
2015-03,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3611538
2015-03,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1538207
2015-03,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2073331
2015-03,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,866687
2015-03,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,682722
2015-03,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,183965
2015-03,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,904265
2015-03,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,615594
2015-03,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,189258
2015-03,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,99413
2015-03,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,413223
2015-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,237041
2015-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,74431
2015-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,162610
2015-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,176182
2015-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,136872
2015-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,39310
2015-04,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4290548
2015-04,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3461996
2015-04,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1509132
2015-04,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,1952864
2015-04,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,828552
2015-04,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,655506
2015-04,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,173046
2015-04,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,854863
2015-04,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,573277
2015-04,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,188443
2015-04,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,93143
2015-04,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,408103
2015-04,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,234889
2015-04,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,74602
2015-04,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,160287
2015-04,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,173214
2015-04,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,136517
2015-04,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,36697
2015-05,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4289167
2015-05,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3477674
2015-05,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1546118
2015-05,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,1931556
2015-05,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,811493
2015-05,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,638138
2015-05,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,173355
2015-05,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,840566
2015-05,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,564038
2015-05,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,183132
2015-05,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,93396
2015-05,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,407038
2015-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,236342
2015-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,77206
2015-05,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,159136
2015-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,170696
2015-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,135302
2015-05,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,35394
2015-06,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4725134
2015-06,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3823210
2015-06,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1629951
2015-06,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2193259
2015-06,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,901924
2015-06,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,718785
2015-06,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,183139
2015-06,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,912174
2015-06,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,620582
2015-06,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,194376
2015-06,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,97216
2015-06,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,522965
2015-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,318980
2015-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,120276
2015-06,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,198704
2015-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,203985
2015-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,165563
2015-06,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,38422
2015-07,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4668417
2015-07,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3784214
2015-07,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1658696
2015-07,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2125519
2015-07,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,884203
2015-07,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,709908
2015-07,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,174295
2015-07,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,909176
2015-07,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,621444
2015-07,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,192030
2015-07,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,95702
2015-07,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,540924
2015-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,335461
2015-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,132181
2015-07,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,203280
2015-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,205463
2015-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,170188
2015-07,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,35275
2015-08,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4655018
2015-08,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3792028
2015-08,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1608693
2015-08,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2183335
2015-08,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,862990
2015-08,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,698348
2015-08,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,164642
2015-08,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,897838
2015-08,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,619695
2015-08,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,188934
2015-08,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,89209
2015-08,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,500212
2015-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,317151
2015-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,120459
2015-08,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,196692
2015-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,183061
2015-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,151198
2015-08,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,31863
2015-09,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4612948
2015-09,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3725813
2015-09,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1573762
2015-09,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2152051
2015-09,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,887135
2015-09,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,701393
2015-09,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,185742
2015-09,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,995908
2015-09,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,680872
2015-09,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,213888
2015-09,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,101148
2015-09,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,473136
2015-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,287085
2015-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,101240
2015-09,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,185845
2015-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,186051
2015-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,147571
2015-09,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,38480
2015-10,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4573720
2015-10,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3737201
2015-10,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1580685
2015-10,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2156516
2015-10,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,836519
2015-10,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,653834
2015-10,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,182685
2015-10,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,907503
2015-10,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,632954
2015-10,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,177444
2015-10,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,97105
2015-10,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,448058
2015-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,270410
2015-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,88993
2015-10,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,181417
2015-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,177648
2015-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,137160
2015-10,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,40488
2015-11,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4826136
2015-11,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3920985
2015-11,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1535289
2015-11,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2385696
2015-11,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,905151
2015-11,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,715626
2015-11,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,189525
2015-11,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,969049
2015-11,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,687638
2015-11,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,182869
2015-11,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,98542
2015-11,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,430743
2015-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,260172
2015-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,72863
2015-11,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,187309
2015-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,170571
2015-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,131815
2015-11,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,38756
2015-12,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,5473171
2015-12,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,4489200
2015-12,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1734282
2015-12,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2754918
2015-12,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,983971
2015-12,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,787253
2015-12,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,196718
2015-12,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,955483
2015-12,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,685497
2015-12,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,181114
2015-12,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,88872
2015-12,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,407890
2015-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,258662
2015-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,69034
2015-12,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,189628
2015-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,149228
2015-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,119615
2015-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,29613
2016-01,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4265650
2016-01,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3449146
2016-01,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1350880
2016-01,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2098266
2016-01,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,816504
2016-01,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,653143
2016-01,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,163361
2016-01,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,1025344
2016-01,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,720365
2016-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,209612
2016-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,95367
2016-01,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,370288
2016-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,228046
2016-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,64291
2016-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,163755
2016-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,142242
2016-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,111456
2016-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,30786
2016-02,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4575522
2016-02,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3727145
2016-02,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1446193
2016-02,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2280952
2016-02,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,848377
2016-02,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,663636
2016-02,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,184741
2016-02,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,1009824
2016-02,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,718844
2016-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,188983
2016-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,101997
2016-02,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,386565
2016-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,242375
2016-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,68654
2016-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,173721
2016-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,144190
